borrower_id,profile_type,normalized_slope,volatility,recent_vs_prior,dip_depth,miss_rate_history,recovery_ratio,dti,recent_surplus_ratio,projected_surplus_ratio,recent_miss_rate,months_below_cover,surplus_trend,income_cv_recent,expense_pressure,income_floor_ratio,income_momentum,payment_buffer_ratio,income_acceleration,stress_streak,recovery_count,worst_3m_surplus_ratio,surplus_volatility,recent_income_vs_baseline,expense_trend,installment_to_income,coverage_ratio,income_expense_ratio,cashflow_autocorr,loan_balance,loan_to_baseline_income,future_stress
B0001,structural_decline,-0.007444636301047529,0.09484435751242234,0.8267469704665845,0.3143455789914792,0.06666666666666665,0.7459980444196117,0.199,0.07943846905992458,0.02414742681539725,0.33333333333333337,2,-0.007797069612664268,0.12167721223352636,0.6999490933347376,0.8399161894119291,-2.1431223315388763,2.4215851306330003,-0.014745874324027606,2,1,-0.018997066629417518,0.39674717080811794,0.7957396284397262,0.00035243331161673814,0.20022118068355363,2.4215851306330003,1.6856673319630213,0.8458054533430741,44166.0,3.701578432742003,0
B0002,structural_decline,-0.010499049366500188,0.12263357175242026,0.9153209246870239,0.4272599823459162,0.02941176470588236,0.6782491302767538,0.239,0.04188171763850667,-0.01944767937810156,0.16666666666666663,1,-0.01008421449382589,0.09215853243796286,0.7232281128334275,0.748967236097409,-2.711317487801029,2.248438779090165,-0.0193548099960686,1,0,0.0014330962147567372,0.5342309284460482,0.7175138896100525,-0.0004148348726742884,0.21840128522426294,2.2484387790901645,1.6768881957182236,0.9587654407952266,65503.0,4.081395711096111,1
B0003,temporary_stress,0.0011776164354039905,0.20358182396899643,1.0141847891163982,0.5074687706648067,0.17647058823529416,0.9921643582473527,0.164,0.3287527288867954,0.3286750842121202,0.0,6,0.0022354607699692996,0.012086125968651069,0.5369413388794536,0.5089942297065937,-0.01471453796349239,2.6030672783609154,0.002599543708128563,6,4,-0.20026632123413624,0.868852217023202,0.9974092560216682,-0.001057844334565305,0.1334520057761995,2.6030672783609154,1.6316539508425083,0.8711679768214153,70046.0,3.807089217613436,0
B0004,structural_decline,-0.011776357050141073,0.14824050582251178,0.8801744372132722,0.3630468033037626,0.25,0.6526154787396757,0.14,-0.11670235546038545,-0.1462054800506926,1.0,9,-0.01145520908751254,0.037970311577048096,0.965681298201488,0.6832670541449984,-0.7682993445010919,1.6948334548991004,0.004448717388454315,9,0,-0.1358621392882635,1.3197756389789155,0.6729784847557867,-0.0003211479626285236,0.20773042015788118,1.6948334548991004,1.3663527383761567,0.9861632516381617,64222.0,3.9291526460691344,1
B0005,temporary_stress,-0.009604375525786166,0.16639342383702174,1.213101451413607,0.3578363019284906,0.48275862068965514,0.9982898787129365,0.251,-0.13603357099634297,0.02916640043899363,0.6666666666666667,14,-0.009001134939909877,0.16693624336438861,0.9066405181063577,0.6568917887868664,1.6319002004900842,0.6376988062212068,0.1332158173064274,9,3,-0.3624930937409561,2.0253973824913443,0.8652950616959142,-0.0006032405858762808,0.25057009942533975,0.6376988062212068,1.1760128334390083,0.8670633435526292,52648.0,4.155436870214949,0
B0006,stable,-0.0001888034502087198,0.020229759391298858,0.9634004149063432,0.05212834421255863,0.0,0.9704881860807207,0.256,0.05424289785786522,0.044355717831860125,0.0,0,0.00015601697737968405,0.011144553550078293,0.716701769828047,0.9679231405718489,-0.686610726012402,1.3262358464512565,0.0022563994798986352,0,0,0.032852195764763566,0.3654103058262242,0.9748705218963561,-0.000344820427588394,0.2276570997453711,1.3262358464512565,1.4237990389664255,0.7887277310239728,48794.0,4.485979589960467,0
B0007,stable,0.0007848242617068831,0.025487845522876886,1.044660051142283,0.040537040682074754,0.0,1.0499228211211138,0.177,0.2505050295766039,0.2787884617946051,0.0,0,0.0002955480480369415,0.023716122375009106,0.6412821210198141,0.9697500233090575,2.994734862730343,3.0056722076407114,0.018863909143514275,0,0,0.1933305017145107,0.13563832844065027,1.0284266904246393,0.0004892762136699301,0.1151370463267958,3.005672207640712,1.5488138661838708,0.7899515152277446,48631.0,3.022780718747734,0
B0008,stable,0.0007705279739202734,0.024262559473786197,0.9655784277637777,0.026827265261428868,0.0,1.0013687380235425,0.271,0.32394118337178834,0.3260395425621659,0.0,0,-0.00012227684495505747,0.012346529585147812,0.5395292461682828,0.983068710648782,0.17034013605442425,3.4435782524688707,0.007208500701129052,0,0,0.313480114191858,0.055200684043286166,1.0001955340033633,0.00089280481887532,0.13659289959336876,3.4435782524688707,1.8686394497959073,0.5209491785028567,75495.0,4.428551875171093,0
B0009,stable,0.001713059120093342,0.023358743135956976,1.0011163562133198,0.04438899468120028,0.0,1.0212751986341848,0.279,0.2145577516580209,0.20264814311041907,0.0,0,0.0031084070545986425,0.012989130311400473,0.6376206709784306,0.9784818438505484,-0.9869402985074625,2.1664920794407507,-0.011988405579580313,0,0,0.14446122529384728,0.17413354179276652,1.0305010177949965,-0.0013953479345053261,0.1541721094720744,2.166492079440751,1.518877681634325,0.840310339270912,47472.0,4.675815877601944,0
B0010,structural_decline,-0.005962976293535731,0.07671035285908144,0.8539993895074918,0.24269557618510873,0.15625,0.8116617485023874,0.098,-0.08788105219164376,-0.09698233984002548,0.8333333333333334,5,-0.005907962404780472,0.059259048917834456,0.842932181264375,0.8305728289365367,-0.2574622282274904,1.1617388243576205,0.01312435205974893,5,1,-0.1271292696209425,1.9383716242636266,0.814954596689421,-5.501388875526912e-05,0.2649033380990862,1.1617388243576205,1.3567144015131045,0.8852331177925643,34746.0,2.6403069947694373,1
